               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084703,            0.061362,            0.034119,            0.019009,             0.16943,            0.011646,           0.0028846,             0.10373,              1.3346,             0.03635,              0.0838,              0.0018,              0.0018
                   1,            0.062959,            0.041984,            0.024814,            0.041844,             0.44528,            0.040061,            0.011712,             0.11283,              8.0151,            0.067065,            0.066682,           0.0036817,           0.0036817
                   2,            0.056799,            0.039248,            0.017344,             0.13636,             0.57057,            0.093354,            0.026121,            0.093591,              2.0277,            0.067078,            0.049545,           0.0055446,           0.0055446
                   3,            0.058656,            0.039485,            0.013637,             0.18293,             0.39116,             0.14438,             0.04468,            0.093672,             0.11714,            0.045282,            0.032389,           0.0073886,           0.0073886
                   4,            0.054873,            0.039272,            0.010818,             0.23747,              0.5658,             0.24218,            0.088658,            0.085631,             0.30255,            0.024041,            0.015214,           0.0092139,           0.0092139
                   5,            0.051684,            0.039008,            0.008887,              0.1936,             0.50509,             0.19857,            0.069966,              0.0797,             0.29376,            0.029861,           0.0097525,           0.0097525,           0.0097525
                   6,              0.0484,            0.037784,           0.0073635,             0.41039,             0.66213,             0.41269,             0.15431,            0.067632,             0.13303,            0.015715,           0.0097525,           0.0097525,           0.0097525
                   7,            0.045938,            0.034749,           0.0063746,             0.61609,             0.71385,             0.61845,             0.28705,            0.055952,            0.079968,            0.010782,            0.009703,            0.009703,            0.009703
                   8,            0.043543,            0.035893,           0.0062728,             0.71538,             0.65092,             0.65375,             0.32021,            0.056847,            0.052698,           0.0099197,           0.0096535,           0.0096535,           0.0096535
                   9,            0.042502,            0.034567,           0.0056886,             0.82036,             0.78136,             0.85167,             0.46271,            0.046083,            0.042855,           0.0088169,            0.009604,            0.009604,            0.009604
                  10,            0.042091,            0.035367,           0.0055467,             0.87545,             0.79624,             0.89047,             0.48562,            0.044859,            0.034881,           0.0073319,           0.0095545,           0.0095545,           0.0095545
                  11,            0.041042,            0.034131,           0.0050039,             0.90184,             0.79866,             0.90444,             0.52714,            0.043558,            0.030493,           0.0069783,            0.009505,            0.009505,            0.009505
                  12,            0.040808,            0.033434,           0.0047839,             0.90255,             0.79779,              0.8933,             0.50162,            0.045389,            0.030853,           0.0064328,           0.0094555,           0.0094555,           0.0094555
                  13,            0.039752,            0.033814,           0.0050527,              0.9177,             0.83336,             0.91484,             0.53019,             0.04234,            0.030313,           0.0071112,            0.009406,            0.009406,            0.009406
                  14,            0.038786,            0.032556,           0.0048044,             0.90245,             0.84663,             0.92937,             0.54164,             0.04165,            0.027448,           0.0058859,           0.0093565,           0.0093565,           0.0093565
                  15,            0.038623,            0.033315,           0.0044656,             0.91188,             0.81932,             0.90654,             0.53218,            0.041718,            0.027491,           0.0063191,            0.009307,            0.009307,            0.009307
                  16,            0.038431,            0.033913,           0.0047574,             0.91141,             0.84647,             0.91584,             0.52683,            0.040858,            0.028023,           0.0055613,           0.0092575,           0.0092575,           0.0092575
                  17,            0.037835,            0.032964,           0.0044238,             0.88593,             0.81754,              0.9009,             0.50416,            0.043382,              0.0277,           0.0062844,            0.009208,            0.009208,            0.009208
                  18,            0.037705,            0.031436,           0.0046608,              0.8782,             0.80001,             0.88366,             0.52898,            0.042698,            0.028147,           0.0066407,           0.0091585,           0.0091585,           0.0091585
                  19,            0.038182,            0.034515,           0.0056003,             0.90165,             0.85704,             0.91971,             0.53978,            0.042373,            0.027102,           0.0071459,            0.009109,            0.009109,            0.009109
                  20,              0.0373,            0.030512,           0.0046763,             0.92785,             0.83516,              0.9234,             0.55006,            0.040166,             0.02621,           0.0061408,           0.0090595,           0.0090595,           0.0090595
